UserId,Department/Region,Course/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,In person or online or both,With certification (Yes or No),New or long-standing,Funding source (Options: regular budget or extrabudgetary),Focus (Options: Youth only or Youth is one of the target groups),For public use or ILO staff only,year
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0023,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
USR-202506-0024,"Employment Policy, Job Creation and Livelihoods",,,,,,,,,,,2024
